ProteinID(Uniprot) DiseaseID(Uniprot) DiseaseID(OMIM) DiseaseID(MeSH) 
AMBN_HUMAN DI-04358 OMIM:616270 MeSH:D000567 
AMER1_HUMAN DI-02547 OMIM:300373 MeSH:D010009 
AMMR1_HUMAN DI-04939 OMIM:300990 MeSH:D000015 
AMMR1_HUMAN DI-01183 OMIM:300194 MeSH:D009394 
AMNLS_HUMAN DI-05840 OMIM:618882 MeSH:D000749 
AMPD1_HUMAN DI-00039 OMIM:615511 MeSH:D008661 
AMPD2_HUMAN DI-04088 OMIM:615809 MeSH:D002526 
AMPD2_HUMAN DI-04057 OMIM:615686 MeSH:D015419 
AMPD3_HUMAN DI-00038 OMIM:612874 MeSH:D008659 
AMRP_HUMAN DI-03893 OMIM:615431 MeSH:D009216 
AMTN_HUMAN DI-05066 OMIM:617607 MeSH:D000567 
ANAG_HUMAN DI-04496 OMIM:616491 MeSH:D002607 
ANAG_HUMAN DI-00775 OMIM:252920 MeSH:D009084 
ANDR_HUMAN DI-03834 OMIM:300633 MeSH:D007021 
ANDR_HUMAN DI-00116 OMIM:300068 MeSH:D013734 
ANDR_HUMAN DI-01053 OMIM:313200 MeSH:D014897 
ANF_HUMAN DI-00148 OMIM:612201 MeSH:D001281 
ANF_HUMAN DI-04075 OMIM:615745 MeSH:D006327 
ANF_HUMAN DI-04075 OMIM:615745 MeSH:D009202 
ANGI_HUMAN DI-00113 OMIM:611895 MeSH:D000690 
ANGL3_HUMAN DI-03014 OMIM:605019 MeSH:D006995 
ANGT_HUMAN DI-02647 OMIM:145500 MeSH:D006973 
ANK1_HUMAN DI-02321 OMIM:182900 MeSH:D013103 
ANK2_HUMAN DI-00682 OMIM:600919 MeSH:D008133 
ANK3_HUMAN DI-03943 OMIM:615493 MeSH:D008607 
ANKH_HUMAN DI-01342 OMIM:118600 MeSH:D002805 
ANKH_HUMAN DI-01445 OMIM:123000 MeSH:D010009 
ANKH_HUMAN DI-01445 OMIM:123000 MeSH:D019465 
ANKL2_HUMAN DI-04594 OMIM:616681 MeSH:D008831 
ANKS6_HUMAN DI-03843 OMIM:615382 MeSH:D052177 
ANLN_HUMAN DI-04233 OMIM:616032 MeSH:D005923 
ANM7_HUMAN DI-04865 OMIM:617157 MeSH:D001847 
ANM7_HUMAN DI-04865 OMIM:617157 MeSH:D065886 
ANO10_HUMAN DI-02959 OMIM:613728 MeSH:D002524 
ANO10_HUMAN DI-02959 OMIM:613728 MeSH:D013132 
ANO3_HUMAN DI-03682 OMIM:615034 MeSH:D004421 
ANO5_HUMAN DI-01679 OMIM:166260 MeSH:D010013 
ANO5_HUMAN DI-02703 OMIM:611307 MeSH:D049288 
ANO5_HUMAN DI-02704 OMIM:613319 MeSH:D049310 
ANO6_HUMAN DI-03017 OMIM:262890 MeSH:D006470 
ANPRB_HUMAN DI-00034 OMIM:602875 MeSH:D004392 
ANPRB_HUMAN DI-04178 OMIM:615923 MeSH:D006130 
ANPRB_HUMAN DI-04178 OMIM:615923 MeSH:D017880 
ANR11_HUMAN DI-03268 OMIM:148050 MeSH:D001848 
ANR11_HUMAN DI-03268 OMIM:148050 MeSH:D008607 
ANR11_HUMAN DI-03268 OMIM:148050 MeSH:D014071 
ANR26_HUMAN DI-01099 OMIM:188000 MeSH:D013921 
ANT3_HUMAN DI-00124 OMIM:613118 MeSH:D020152 
ANTR1_HUMAN DI-03790 OMIM:230740 MeSH:D000505 
ANTR1_HUMAN DI-03790 OMIM:230740 MeSH:D000848 
ANTR1_HUMAN DI-03790 OMIM:230740 MeSH:D006130 
ANTR1_HUMAN DI-02546 OMIM:602089 MeSH:D018324 
ANTR2_HUMAN DI-01850 OMIM:228600 MeSH:D057770 
ANX11_HUMAN DI-05172 OMIM:617839 MeSH:D000690 
ANXA5_HUMAN DI-03352 OMIM:614391 MeSH:D000026 
AOFA_HUMAN DI-00206 OMIM:300615 MeSH:D008607 
AP1B1_HUMAN DI-05746 OMIM:242150 MeSH:D003638 
AP1B1_HUMAN DI-05746 OMIM:242150 MeSH:D007057 
AP1B1_HUMAN DI-05746 OMIM:242150 MeSH:D007634 
AP1S1_HUMAN DI-03642 OMIM:609313 MeSH:D007057 
AP1S1_HUMAN DI-03642 OMIM:609313 MeSH:D008607 
AP1S1_HUMAN DI-03642 OMIM:609313 MeSH:D020752 
AP1S1_HUMAN DI-03642 OMIM:609313 MeSH:D056266 
AP1S2_HUMAN DI-04207 OMIM:304340 MeSH:D038901 
AP1S3_HUMAN DI-04277 OMIM:616106 MeSH:D011565 
