ProteinID(Uniprot) DiseaseID(Uniprot) DiseaseID(OMIM) DiseaseID(MeSH) 
LRP5_HUMAN DI-05195 OMIM:617875 MeSH:D008107 
LRP5_HUMAN DI-00450 OMIM:144750 MeSH:D010009 
LRP5_HUMAN DI-02111 OMIM:259770 MeSH:D010013 
LRP5_HUMAN DI-00884 OMIM:607634 MeSH:D010022 
LRP5_HUMAN DI-02659 OMIM:166710 MeSH:D010024 
LRP5_HUMAN DI-01128 OMIM:601813 MeSH:D012164 
LRP5_HUMAN DI-01126 OMIM:133780 MeSH:D012178 
LRP6_HUMAN DI-04606 OMIM:616724 MeSH:D000848 
LRP6_HUMAN DI-01203 OMIM:610947 MeSH:D003324 
LRP8_HUMAN DI-02017 OMIM:608446 MeSH:D009203 
LRRK2_HUMAN DI-02136 OMIM:607060 MeSH:D010300 
LRSM1_HUMAN DI-03339 OMIM:614436 MeSH:D002607 
LSHB_HUMAN DI-01614 OMIM:228300 MeSH:D005058 
LSHR_HUMAN DI-01902 OMIM:238320 MeSH:D007006 
LSM11_HUMAN DI-06175 OMIM:619486 MeSH:D009421 
LSM11_HUMAN DI-06175 OMIM:619486 MeSH:D020274 
LTBP2_HUMAN DI-02595 OMIM:613086 MeSH:D005901 
LTBP2_HUMAN DI-02815 OMIM:251750 MeSH:D007905 
LTBP2_HUMAN DI-03526 OMIM:614819 MeSH:D056846 
LTBP3_HUMAN DI-02717 OMIM:601216 MeSH:D000567 
LTBP3_HUMAN DI-05159 OMIM:617809 MeSH:D004392 
LTBP3_HUMAN DI-02717 OMIM:601216 MeSH:D010009 
LTBP4_HUMAN DI-02872 OMIM:613177 MeSH:D003483 
LX12B_HUMAN DI-00822 OMIM:242100 MeSH:D017490 
LYAG_HUMAN DI-00522 OMIM:232300 MeSH:D006009 
LYOX_HUMAN DI-04842 OMIM:617168 MeSH:D017545 
LYRM4_HUMAN DI-04002 OMIM:615595 MeSH:D028361 
LYRM7_HUMAN DI-04116 OMIM:615838 MeSH:D017237 
LYSC_HUMAN DI-00104 OMIM:105200 MeSH:D028226 
LYST_HUMAN DI-00295 OMIM:214500 MeSH:D002609 
LZTL1_HUMAN DI-04076 OMIM:615994 MeSH:D020788 
LZTR1_HUMAN DI-02566 OMIM:137800 MeSH:D005910 
LZTR1_HUMAN DI-04051 OMIM:615670 MeSH:D009442 
LZTR1_HUMAN DI-05439 OMIM:605275 MeSH:D009634 
LZTS1_HUMAN DI-01537 OMIM:133239 MeSH:D004938 
M2OM_HUMAN DI-05590 OMIM:618464 MeSH:D010235 
M3K1_HUMAN DI-03052 OMIM:613762 MeSH:D006061 
M3K7_HUMAN DI-04853 OMIM:157800 MeSH:D006312 
M3K7_HUMAN DI-04853 OMIM:157800 MeSH:D006349 
M3K7_HUMAN DI-04852 OMIM:617137 MeSH:D010009 
M3K7_HUMAN DI-04853 OMIM:157800 MeSH:D010026 
MA1B1_HUMAN DI-03241 OMIM:614202 MeSH:D008607 
MA2B1_HUMAN DI-01921 OMIM:248500 MeSH:D008363 
MAAI_HUMAN DI-05047 OMIM:617596 MeSH:D008661 
MABP1_HUMAN DI-04920 OMIM:617271 MeSH:D052177 
MACF1_HUMAN DI-05481 OMIM:618325 MeSH:D054082 
MADD_HUMAN DI-05908 OMIM:619004 MeSH:D000015 
MAFA_HUMAN DI-05201 OMIM:147630 MeSH:D007516 
MAFB_HUMAN DI-04764 OMIM:617041 MeSH:D004370 
MAFB_HUMAN DI-03436 OMIM:166300 MeSH:D010014 
MAF_HUMAN DI-04468 OMIM:601088 MeSH:D002386 
MAF_HUMAN DI-04468 OMIM:601088 MeSH:D006130 
MAF_HUMAN DI-04468 OMIM:601088 MeSH:D006319 
MAF_HUMAN DI-04468 OMIM:601088 MeSH:D008607 
MAF_HUMAN DI-04468 OMIM:601088 MeSH:D019066 
MAGD2_HUMAN DI-04715 OMIM:300971 MeSH:D001477 
MAGI2_HUMAN DI-05067 OMIM:617609 MeSH:D009404 
MAGL2_HUMAN DI-03984 OMIM:615547 MeSH:D000015 
MAGT1_HUMAN DI-03201 OMIM:300853 MeSH:D008231 
MAGT1_HUMAN DI-05648 OMIM:301031 MeSH:D018981 
MAG_HUMAN DI-04593 OMIM:616680 MeSH:D015419 
MAK_HUMAN DI-03235 OMIM:614181 MeSH:D012174 
MALD2_HUMAN DI-00875 OMIM:610153 MeSH:D006319 
MALT1_HUMAN DI-03911 OMIM:615468 MeSH:D007153 
MAMD1_HUMAN DI-02448 OMIM:300758 MeSH:D007021 
MAN1_HUMAN DI-01301 OMIM:166700 MeSH:D010023 
MAN1_HUMAN DI-01301 OMIM:166700 MeSH:D012873 
MANBA_HUMAN DI-01922 OMIM:248510 MeSH:D044905 
MAP1B_HUMAN DI-05862 OMIM:618918 MeSH:D054091 
MAPK3_HUMAN DI-04818 OMIM:617111 MeSH:D058499 
MARE2_HUMAN DI-04629 OMIM:616734 MeSH:D003483 
MARE2_HUMAN DI-04629 OMIM:616734 MeSH:D006222 
MARE2_HUMAN DI-04629 OMIM:616734 MeSH:D012868 
MARH6_HUMAN DI-05690 OMIM:613608 MeSH:D004831 
MARK3_HUMAN DI-05463 OMIM:618283 MeSH:D005128 
MASP1_HUMAN DI-03129 OMIM:257920 MeSH:D003398 
MASP1_HUMAN DI-03129 OMIM:257920 MeSH:D005141 
MASP2_HUMAN DI-03105 OMIM:613791 MeSH:D007154 
MAST1_HUMAN DI-05456 OMIM:618273 MeSH:D065886 
MATN3_HUMAN DI-02330 OMIM:608728 MeSH:D001848 
MATN3_HUMAN DI-02642 OMIM:140600 MeSH:D010003 
MATN3_HUMAN DI-00789 OMIM:607078 MeSH:D010009 
MATR3_HUMAN DI-02625 OMIM:606070 MeSH:D000690 
MAX_HUMAN DI-02160 OMIM:171300 MeSH:D010673 
MB211_HUMAN DI-05597 OMIM:618479 MeSH:D000015 
MB212_HUMAN DI-04146 OMIM:615877 MeSH:D008850 
MBD5_HUMAN DI-00710 OMIM:156200 MeSH:D008607 
MBNL1_HUMAN DI-04548 OMIM:613267 MeSH:D005642 
MBNL1_HUMAN DI-02023 OMIM:160900 MeSH:D009223 
MBOA7_HUMAN DI-04875 OMIM:617188 MeSH:D008607 
MBTP1_HUMAN DI-05540 OMIM:618392 MeSH:D010009 
MBTP2_HUMAN DI-02540 OMIM:308205 MeSH:D000505 
MBTP2_HUMAN DI-02540 OMIM:308205 MeSH:D007057 
MBTP2_HUMAN DI-01862 OMIM:308800 MeSH:D007642 
MBTP2_HUMAN DI-04106 OMIM:300918 MeSH:D007645 
MBTP2_HUMAN DI-05299 OMIM:301014 MeSH:D010013 
MBTP2_HUMAN DI-02540 OMIM:308205 MeSH:D020795 
MC4R_HUMAN DI-01221 OMIM:601665 MeSH:D009765 
MCAT_HUMAN DI-01324 OMIM:212138 MeSH:D008052 
MCCA_HUMAN DI-00742 OMIM:210200 MeSH:D000592 
MCCB_HUMAN DI-00743 OMIM:210210 MeSH:D000592 
MCFD2_HUMAN DI-02942 OMIM:613625 MeSH:D025861 
MCLN1_HUMAN DI-01998 OMIM:252650 MeSH:D009081 
MCM2_HUMAN DI-04728 OMIM:616968 MeSH:D006319 
MCM4_HUMAN DI-03605 OMIM:609981 MeSH:D000309 
MCM4_HUMAN DI-03605 OMIM:609981 MeSH:D007153 
MCM4_HUMAN DI-03605 OMIM:609981 MeSH:D049914 
MCM5_HUMAN DI-05038 OMIM:617564 MeSH:D006130 
MCM5_HUMAN DI-05038 OMIM:617564 MeSH:D008844 
MCM8_HUMAN DI-04371 OMIM:612885 MeSH:D016649 
MCM9_HUMAN DI-04296 OMIM:616185 MeSH:D023961 
MCPH1_HUMAN DI-00751 OMIM:251200 MeSH:D008831 
MCP_HUMAN DI-02597 OMIM:612922 MeSH:D006463 
MCR_HUMAN DI-01513 OMIM:605115 MeSH:D006973 
MCR_HUMAN DI-01224 OMIM:177735 MeSH:D011546 
MD12L_HUMAN DI-05831 OMIM:618872 MeSH:D008607 
MD13L_HUMAN DI-04642 OMIM:616789 MeSH:D008607 
MD2L2_HUMAN DI-04907 OMIM:617243 MeSH:D005199 
MDHC_HUMAN DI-05883 OMIM:618959 MeSH:D013036 
MDHM_HUMAN DI-04943 OMIM:617339 MeSH:D013036 
MDM2_HUMAN DI-05687 OMIM:618681 MeSH:D019588 
MDM4_HUMAN DI-05796 OMIM:618849 MeSH:D000080 
MDR1_HUMAN DI-02657 OMIM:612244 MeSH:D015212 
MDR3_HUMAN DI-01341 OMIM:600803 MeSH:D002764 
MDR3_HUMAN DI-00951 OMIM:602347 MeSH:D002780 
MDR3_HUMAN DI-01341 OMIM:600803 MeSH:D042882 
MECP2_HUMAN DI-02433 OMIM:300496 MeSH:D001321 
MECP2_HUMAN DI-02038 OMIM:300673 MeSH:D001927 
MECP2_HUMAN DI-00999 OMIM:312750 MeSH:D015518 
MECP2_HUMAN DI-00121 OMIM:105830 MeSH:D017204 
MECP2_HUMAN DI-00722 OMIM:300055 MeSH:D038901 
MECR_HUMAN DI-04936 OMIM:617282 MeSH:D001480 
MECR_HUMAN DI-04936 OMIM:617282 MeSH:D009896 
MECR_HUMAN DI-04936 OMIM:617282 MeSH:D020821 
MED12_HUMAN DI-03741 OMIM:300895 MeSH:D001763 
MED12_HUMAN DI-03741 OMIM:300895 MeSH:D008607 
MED12_HUMAN DI-03741 OMIM:300895 MeSH:D016569 
MED12_HUMAN DI-01917 OMIM:309520 MeSH:D038901 
MED13_HUMAN DI-05748 OMIM:618009 MeSH:D008607 
MED17_HUMAN DI-02983 OMIM:613668 MeSH:D008831 
MED23_HUMAN DI-03250 OMIM:614249 MeSH:D008607 
MED25_HUMAN DI-04474 OMIM:616449 MeSH:D000015 
MED25_HUMAN DI-02671 OMIM:605589 MeSH:D002607 
MED27_HUMAN DI-06070 OMIM:619286 MeSH:D065886 
MEF2A_HUMAN DI-01202 OMIM:608320 MeSH:D003324 
MEF2C_HUMAN DI-02856 OMIM:613443 MeSH:D004827 
MEF2C_HUMAN DI-02856 OMIM:613443 MeSH:D008607 
MEF2C_HUMAN DI-02856 OMIM:613443 MeSH:D019956 
MEFV_HUMAN DI-00495 OMIM:134610 MeSH:D010505 
MEFV_HUMAN DI-05865 OMIM:608068 MeSH:D056660 
MEG10_HUMAN DI-03358 OMIM:614399 MeSH:D009135 
MEGF8_HUMAN DI-03635 OMIM:614976 MeSH:D000168 
MEI1_HUMAN DI-05567 OMIM:618431 MeSH:D006828 
MEIS1_HUMAN DI-02589 OMIM:612853 MeSH:D012148 
MEIS2_HUMAN DI-05007 OMIM:600987 MeSH:D000015 
MEOX1_HUMAN DI-03989 OMIM:214300 MeSH:D007714 
MERL_HUMAN DI-03213 OMIM:156240 MeSH:D008654 
MERL_HUMAN DI-02287 OMIM:162091 MeSH:D009442 
MERTK_HUMAN DI-03030 OMIM:613862 MeSH:D012174 
MESD_HUMAN DI-05682 OMIM:618644 MeSH:D010013 
MESP2_HUMAN DI-01082 OMIM:608681 MeSH:D004413 
MET23_HUMAN DI-04192 OMIM:615942 MeSH:D008607 
METH_HUMAN DI-01971 OMIM:250940 MeSH:D008661 
METK1_HUMAN DI-02745 OMIM:250850 MeSH:D000592 
METL5_HUMAN DI-05705 OMIM:618665 MeSH:D038901 
MET_HUMAN DI-04712 OMIM:607278 MeSH:D001848 
MET_HUMAN DI-01732 OMIM:605074 MeSH:D002292 
MET_HUMAN DI-04599 OMIM:616705 MeSH:D006319 
MET_HUMAN DI-01708 OMIM:114550 MeSH:D006528 
MF2L2_HUMAN DI-02060 OMIM:125853 MeSH:D003924 
MFAP5_HUMAN DI-04293 OMIM:616166 MeSH:D017545 
MFF_HUMAN DI-04810 OMIM:617086 MeSH:D000015 
MFN2_HUMAN DI-00292 OMIM:601152 MeSH:D002607 
MFN2_HUMAN DI-00275 OMIM:609260 MeSH:D015417 
MFN2_HUMAN DI-00292 OMIM:601152 MeSH:D015418 
MFSD8_HUMAN DI-04295 OMIM:616170 MeSH:D005128 
MFSD8_HUMAN DI-00815 OMIM:610951 MeSH:D009472 
MFTC_HUMAN DI-04667 OMIM:616839 MeSH:D009135 
MFTC_HUMAN DI-02042 OMIM:182940 MeSH:D009436 
MGAT2_HUMAN DI-00347 OMIM:212066 MeSH:D018981 
MIB1_HUMAN DI-03659 OMIM:615092 MeSH:D056830 
MICA_HUMAN DI-02231 OMIM:177900 MeSH:D011565 
MICA_HUMAN DI-02697 OMIM:607507 MeSH:D015535 
MICB_HUMAN DI-02692 OMIM:180300 MeSH:D001172 
MICU1_HUMAN DI-04058 OMIM:615673 MeSH:D007859 
MICU1_HUMAN DI-04058 OMIM:615673 MeSH:D009069 
MICU1_HUMAN DI-04058 OMIM:615673 MeSH:D009135 
MID49_HUMAN DI-05914 OMIM:619024 MeSH:D028361 
MIF_HUMAN DI-02819 OMIM:604302 MeSH:D001171 
MINP1_HUMAN DI-04532 OMIM:188470 MeSH:D013964 
MINT_HUMAN DI-06099 OMIM:619312 MeSH:D065886 
MIPEP_HUMAN DI-04916 OMIM:617228 MeSH:D028361 
MIPT3_HUMAN DI-04575 OMIM:616629 MeSH:D052177 
MIPT3_HUMAN DI-04575 OMIM:616629 MeSH:D057130 
MIP_HUMAN DI-03782 OMIM:615274 MeSH:D002386 
MIRH1_HUMAN DI-03283 OMIM:614326 MeSH:D008831 
MIRH1_HUMAN DI-03283 OMIM:614326 MeSH:D017880 
MITF_HUMAN DI-04925 OMIM:617306 MeSH:D000015 
MITF_HUMAN DI-02369 OMIM:103500 MeSH:D003638 
MITF_HUMAN DI-03341 OMIM:614456 MeSH:D008545 
MITF_HUMAN DI-01135 OMIM:193510 MeSH:D014849 
MITF_HUMAN DI-02369 OMIM:103500 MeSH:D016115 
MK01_HUMAN DI-05961 OMIM:619087 MeSH:D009634 
MKKS_HUMAN DI-00164 OMIM:605231 MeSH:D020788 
MKRN3_HUMAN DI-03824 OMIM:615346 MeSH:D011629 
MKS1_HUMAN DI-04820 OMIM:617121 MeSH:D002526 
MKS1_HUMAN DI-00700 OMIM:249000 MeSH:D002925 
MKS1_HUMAN DI-00700 OMIM:249000 MeSH:D004677 
MKS1_HUMAN DI-04820 OMIM:617121 MeSH:D005124 
MKS1_HUMAN DI-00700 OMIM:249000 MeSH:D007690 
MKS1_HUMAN DI-03087 OMIM:615990 MeSH:D020788 
MKS1_HUMAN DI-04820 OMIM:617121 MeSH:D052177 
MKS3_HUMAN DI-05440 OMIM:602152 MeSH:D000072 
MKS3_HUMAN DI-02835 OMIM:216360 MeSH:D001259 
MKS3_HUMAN DI-02835 OMIM:216360 MeSH:D002526 
MKS3_HUMAN DI-00701 OMIM:607361 MeSH:D002925 
MKS3_HUMAN DI-02835 OMIM:216360 MeSH:D003103 
MKS3_HUMAN DI-00701 OMIM:607361 MeSH:D004677 
MKS3_HUMAN DI-00609 OMIM:610688 MeSH:D005124 
MKS3_HUMAN DI-05440 OMIM:602152 MeSH:D007018 
MKS3_HUMAN DI-00701 OMIM:607361 MeSH:D007690 
MKS3_HUMAN DI-02835 OMIM:216360 MeSH:D008107 
MKS3_HUMAN DI-02607 OMIM:615991 MeSH:D020788 
MKS3_HUMAN DI-00609 OMIM:610688 MeSH:D052177 
MLC1_HUMAN DI-01960 OMIM:604004 MeSH:D056784 
MLH1_HUMAN DI-00551 OMIM:609310 MeSH:D003123 
MLH1_HUMAN DI-01980 OMIM:276300 MeSH:D009386 
MLH1_HUMAN DI-01359 OMIM:114500 MeSH:D015179 
MLH1_HUMAN DI-01526 OMIM:608089 MeSH:D016889 
MLH3_HUMAN DI-00556 OMIM:614385 MeSH:D003123 
MLH3_HUMAN DI-01359 OMIM:114500 MeSH:D015179 
MLRS_HUMAN DI-05980 OMIM:619110 MeSH:D001176 
MLRV_HUMAN DI-00240 OMIM:608758 MeSH:D024741 
MMAA_HUMAN DI-00747 OMIM:251100 MeSH:D008661 
MMAB_HUMAN DI-00748 OMIM:251110 MeSH:D008661 
MMAC_HUMAN DI-00744 OMIM:277400 MeSH:D006712 
MMAC_HUMAN DI-00744 OMIM:277400 MeSH:D008661 
MMAD_HUMAN DI-00745 OMIM:277410 MeSH:D006712 
MMAD_HUMAN DI-00745 OMIM:277410 MeSH:D008661 
MMP13_HUMAN DI-02635 OMIM:602111 MeSH:D001848 
MMP13_HUMAN DI-04373 OMIM:250400 MeSH:D010009 
MMP14_HUMAN DI-03898 OMIM:277950 MeSH:D010014 
MMP14_HUMAN DI-03898 OMIM:277950 MeSH:D010024 
MMP19_HUMAN DI-04537 OMIM:611543 MeSH:D015785 
MMP20_HUMAN DI-00092 OMIM:612529 MeSH:D000567 
MMP21_HUMAN DI-04636 OMIM:616749 MeSH:D059446 
MMP2_HUMAN DI-02374 OMIM:259600 MeSH:D010014 
MMP3_HUMAN DI-03346 OMIM:614466 MeSH:D003324 
MMP9_HUMAN DI-02636 OMIM:613073 MeSH:D001848 
MMP9_HUMAN DI-01829 OMIM:603932 MeSH:D007405 
MMP9_HUMAN DI-01829 OMIM:603932 MeSH:D055959 
MMSA_HUMAN DI-01973 OMIM:614105 MeSH:D000592 
MN1_HUMAN DI-05758 OMIM:618774 MeSH:D008607 
MN1_HUMAN DI-05758 OMIM:618774 MeSH:D065886 
MNS1_HUMAN DI-05875 OMIM:618948 MeSH:D059446 
MOC2A_HUMAN DI-01990 OMIM:252160 MeSH:D008664 
MOC2B_HUMAN DI-01990 OMIM:252160 MeSH:D008664 
MOCOS_HUMAN DI-01154 OMIM:603592 MeSH:D008661 
MOCOS_HUMAN DI-01154 OMIM:603592 MeSH:D052878 
MOCS1_HUMAN DI-01989 OMIM:252150 MeSH:D008664 
MOD5_HUMAN DI-05193 OMIM:617873 MeSH:D028361 
MOES_HUMAN DI-04900 OMIM:300988 MeSH:D007153 
MOG_HUMAN DI-03240 OMIM:614250 MeSH:D009290 
MORC2_HUMAN DI-06005 OMIM:619090 MeSH:D000015 
MORC2_HUMAN DI-04590 OMIM:616688 MeSH:D002607 
MOT11_HUMAN DI-02060 OMIM:125853 MeSH:D003924 
MOT12_HUMAN DI-01327 OMIM:612018 MeSH:D002386 
MOT12_HUMAN DI-01327 OMIM:612018 MeSH:D006030 
MOT13_HUMAN DI-02060 OMIM:125853 MeSH:D003924 
MOT1_HUMAN DI-04263 OMIM:616095 MeSH:D007662 
MP2K1_HUMAN DI-03780 OMIM:615279 MeSH:D004476 
MP2K1_HUMAN DI-03780 OMIM:615279 MeSH:D006330 
MP2K1_HUMAN DI-01963 OMIM:155950 MeSH:D008557 
MP2K2_HUMAN DI-03781 OMIM:615280 MeSH:D004476 
MP2K2_HUMAN DI-03781 OMIM:615280 MeSH:D006330 
MPC1_HUMAN DI-03497 OMIM:614741 MeSH:D028361 
MPCP_HUMAN DI-01985 OMIM:610773 MeSH:D028361 
MPDZ_HUMAN DI-03725 OMIM:615219 MeSH:D006849 
MPEG1_HUMAN DI-06056 OMIM:619223 MeSH:D007153 
MPI_HUMAN DI-00334 OMIM:602579 MeSH:D018981 
MPLKI_HUMAN DI-01105 OMIM:234050 MeSH:D054463 
MPPA_HUMAN DI-04657 OMIM:213200 MeSH:D002524 
MPPA_HUMAN DI-04657 OMIM:213200 MeSH:D013132 
MPPB_HUMAN DI-05241 OMIM:617954 MeSH:D028361 
MPU1_HUMAN DI-00338 OMIM:609180 MeSH:D018981 
MPV17_HUMAN DI-05543 OMIM:618400 MeSH:D002607 
MPV17_HUMAN DI-03020 OMIM:256810 MeSH:D017237 
MPZL2_HUMAN DI-05349 OMIM:618145 MeSH:D006319 
MRAP2_HUMAN DI-01221 OMIM:601665 MeSH:D009765 
MRAP_HUMAN DI-01670 OMIM:607398 MeSH:D000309 
MRE11_HUMAN DI-00140 OMIM:604391 MeSH:D002524 
MRE11_HUMAN DI-00140 OMIM:604391 MeSH:D049914 
MRP1_HUMAN DI-05859 OMIM:618915 MeSH:D034381 
MRP6_HUMAN DI-00959 OMIM:264800 MeSH:D011561 
MRP6_HUMAN DI-03382 OMIM:614473 MeSH:D061205 
MS3L1_HUMAN DI-05649 OMIM:301032 MeSH:D038901 
MSH2_HUMAN DI-00550 OMIM:120435 MeSH:D003123 
MSH2_HUMAN DI-05969 OMIM:619096 MeSH:D009386 
MSH2_HUMAN DI-01359 OMIM:114500 MeSH:D015179 
MSH2_HUMAN DI-01526 OMIM:608089 MeSH:D016889 
MSH3_HUMAN DI-01526 OMIM:608089 MeSH:D016889 
MSH3_HUMAN DI-04840 OMIM:617100 MeSH:D018256 
MSH5_HUMAN DI-04986 OMIM:617442 MeSH:D016649 
MSH6_HUMAN DI-00554 OMIM:614350 MeSH:D003123 
MSH6_HUMAN DI-05970 OMIM:619097 MeSH:D009386 
MSH6_HUMAN DI-01359 OMIM:114500 MeSH:D015179 
MSH6_HUMAN DI-01526 OMIM:608089 MeSH:D016889 
MSHR_HUMAN DI-02516 OMIM:613099 MeSH:D008545 
MSMB_HUMAN DI-02660 OMIM:611928 MeSH:D011471 
MSMO1_HUMAN DI-04663 OMIM:616834 MeSH:D008052 
MSRB3_HUMAN DI-02958 OMIM:613718 MeSH:D006319 
MSRE_HUMAN DI-03276 OMIM:614266 MeSH:D001471 
MSRE_HUMAN DI-02663 OMIM:176807 MeSH:D011471 
MSTO1_HUMAN DI-05086 OMIM:617675 MeSH:D009468 
MSX1_HUMAN DI-01211 OMIM:106600 MeSH:D000848 
MSX1_HUMAN DI-00826 OMIM:608874 MeSH:D002971 
MSX1_HUMAN DI-01148 OMIM:189500 MeSH:D004476 
MSX2_HUMAN DI-00382 OMIM:604757 MeSH:D003398 
MSX2_HUMAN DI-02130 OMIM:168500 MeSH:D004677 
MTAP_HUMAN DI-03464 OMIM:112250 MeSH:D001848 
MTAP_HUMAN DI-03464 OMIM:112250 MeSH:D051677 
MTHFS_HUMAN DI-05514 OMIM:618367 MeSH:D065886 
MTHR_HUMAN DI-01972 OMIM:236250 MeSH:D006712 
MTHR_HUMAN DI-03626 OMIM:181500 MeSH:D012559 
MTM1_HUMAN DI-00254 OMIM:310400 MeSH:D020914 
MTMR2_HUMAN DI-00286 OMIM:601382 MeSH:D002607 
MTMR5_HUMAN DI-03784 OMIM:615284 MeSH:D002607 
MTMRD_HUMAN DI-00287 OMIM:604563 MeSH:D002607 
MTMRE_HUMAN DI-00252 OMIM:160150 MeSH:D020914 
MTO1_HUMAN DI-03492 OMIM:614702 MeSH:D028361 
MTOR_HUMAN DI-04980 OMIM:607341 MeSH:D001927 
MTOR_HUMAN DI-04576 OMIM:616638 MeSH:D006554 
MTOR_HUMAN DI-04576 OMIM:616638 MeSH:D008607 
MTOR_HUMAN DI-04576 OMIM:616638 MeSH:D012640 
MTOR_HUMAN DI-04576 OMIM:616638 MeSH:D019465 
MTP_HUMAN DI-00014 OMIM:200100 MeSH:D000012 
MTRR_HUMAN DI-01970 OMIM:236270 MeSH:D008661 
MTU1_HUMAN DI-05233 OMIM:580000 MeSH:D006319 
MTU1_HUMAN DI-02634 OMIM:613070 MeSH:D017093 
MTUS1_HUMAN DI-01708 OMIM:114550 MeSH:D006528 
MTX2_HUMAN DI-05993 OMIM:619127 MeSH:D008060 
MTX2_HUMAN DI-05993 OMIM:619127 MeSH:D019588 
MTX2_HUMAN DI-05993 OMIM:619127 MeSH:D030981 
MUC1_HUMAN DI-03826 OMIM:174000 MeSH:D052177 
MUC24_HUMAN DI-04729 OMIM:616969 MeSH:D006319 
MUC5B_HUMAN DI-02670 OMIM:178500 MeSH:D054990 
MUC7_HUMAN DI-02482 OMIM:600807 MeSH:D001249 
MUSK_HUMAN DI-01615 OMIM:208150 MeSH:D001176 
MUSK_HUMAN DI-01615 OMIM:208150 MeSH:D005317 
MUSK_HUMAN DI-04400 OMIM:616325 MeSH:D020294 
MUTA_HUMAN DI-00749 OMIM:251000 MeSH:D008661 
MUTYH_HUMAN DI-02971 OMIM:613659 MeSH:D013274 
MUTYH_HUMAN DI-01228 OMIM:608456 MeSH:D018256 
MVD1_HUMAN DI-04571 OMIM:614714 MeSH:D017499 
MXI1_HUMAN DI-02663 OMIM:176807 MeSH:D011471 
MXRA5_HUMAN DI-02205 OMIM:211980 MeSH:D008175 
MY18B_HUMAN DI-04523 OMIM:616549 MeSH:D007714 
MYCD_HUMAN DI-05721 OMIM:618719 MeSH:D014564 
MYCN_HUMAN DI-01612 OMIM:164280 MeSH:D004380 
MYCN_HUMAN DI-01612 OMIM:164280 MeSH:D004933 
MYCN_HUMAN DI-01612 OMIM:164280 MeSH:D008831 
MYCN_HUMAN DI-01612 OMIM:164280 MeSH:D017880 
MYC_HUMAN DI-02613 OMIM:113970 MeSH:D002051 
MYD88_HUMAN DI-02015 OMIM:612260 MeSH:D007153 
MYD88_HUMAN DI-06042 OMIM:153600 MeSH:D008258 
MYF5_HUMAN DI-05356 OMIM:618155 MeSH:D009886 
MYH11_HUMAN DI-06119 OMIM:619350 MeSH:D007418 
MYH11_HUMAN DI-00128 OMIM:132900 MeSH:D017545 
MYH14_HUMAN DI-00836 OMIM:600652 MeSH:D006319 
MYH14_HUMAN DI-03320 OMIM:614369 MeSH:D010523 
MYH2_HUMAN DI-01816 OMIM:605637 MeSH:D003286 
MYH2_HUMAN DI-01816 OMIM:605637 MeSH:D009886 
MYH2_HUMAN DI-01816 OMIM:605637 MeSH:D018979 
MYH3_HUMAN DI-05625 OMIM:178110 MeSH:D001176 
MYH6_HUMAN DI-02682 OMIM:613252 MeSH:D002311 
MYH6_HUMAN DI-00151 OMIM:614089 MeSH:D006344 
MYH6_HUMAN DI-03155 OMIM:614090 MeSH:D012804 
MYH6_HUMAN DI-02680 OMIM:613251 MeSH:D024741 
MYH7_HUMAN DI-00224 OMIM:613426 MeSH:D002311 
MYH7_HUMAN DI-04466 OMIM:255160 MeSH:D009135 
MYH7_HUMAN DI-00232 OMIM:192600 MeSH:D024741 
MYH7_HUMAN DI-01873 OMIM:160500 MeSH:D049310 
MYH7_HUMAN DI-05185 OMIM:613426 MeSH:D056830 
MYH8_HUMAN DI-02392 OMIM:158300 MeSH:D001176 
MYH9_HUMAN DI-00845 OMIM:603622 MeSH:D006319 
MYH9_HUMAN DI-01951 OMIM:155100 MeSH:D013921 
MYL1_HUMAN DI-05562 OMIM:618414 MeSH:D020914 
MYL3_HUMAN DI-00238 OMIM:608751 MeSH:D024741 
MYL4_HUMAN DI-04898 OMIM:617280 MeSH:D001281 
MYLK2_HUMAN DI-00232 OMIM:192600 MeSH:D024741 
MYLK_HUMAN DI-05709 OMIM:249210 MeSH:D007418 
MYLK_HUMAN DI-03062 OMIM:613780 MeSH:D017545 
MYO15_HUMAN DI-00855 OMIM:600316 MeSH:D006319 
MYO1E_HUMAN DI-03188 OMIM:614131 MeSH:D005923 
MYO3A_HUMAN DI-00870 OMIM:607101 MeSH:D003638 
MYO5A_HUMAN DI-01519 OMIM:256710 MeSH:D010859 
MYO5A_HUMAN DI-01519 OMIM:256710 MeSH:D020752 
MYO5B_HUMAN DI-01979 OMIM:251850 MeSH:D003968 
MYO6_HUMAN DI-01013 OMIM:606346 MeSH:D002312 
MYO6_HUMAN DI-01013 OMIM:606346 MeSH:D006319 
MYO7A_HUMAN DI-00854 OMIM:600060 MeSH:D006319 
MYO7A_HUMAN DI-01112 OMIM:276900 MeSH:D052245 
MYO9A_HUMAN DI-05394 OMIM:618198 MeSH:D020294 
MYO9B_HUMAN DI-02884 OMIM:609753 MeSH:D002446 
MYOC_HUMAN DI-00935 OMIM:231300 MeSH:D005901 
MYOC_HUMAN DI-00937 OMIM:137750 MeSH:D005902 
MYOD1_HUMAN DI-05895 OMIM:618975 MeSH:D009135 
MYOTI_HUMAN DI-02022 OMIM:609200 MeSH:D020914 
MYOZ2_HUMAN DI-03037 OMIM:613838 MeSH:D024741 
